65.625,90.625,68.75,93.75
62.5,87.5,65.625,90.625
65.625,87.5,68.75,90.625
68.75,90.625,71.875,93.75
71.875,90.625,75,93.75
68.75,87.5,71.875,90.625
71.875,87.5,75,90.625
50,84.375,53.125,87.5
53.125,84.375,56.25,87.5
50,81.25,53.125,84.375
53.125,81.25,56.25,84.375
56.25,81.25,62.5,87.5
50,75,56.25,81.25
56.25,75,62.5,81.25
62.5,84.375,65.625,87.5
65.625,84.375,68.75,87.5
62.5,81.25,65.625,84.375
65.625,81.25,68.75,84.375
68.75,84.375,71.875,87.5
71.875,84.375,75,87.5
68.75,81.25,71.875,84.375
71.875,81.25,75,84.375
62.5,75,68.75,81.25
68.75,75,75,81.25
75,96.875,78.125,100
78.125,96.875,81.25,100
75,93.75,78.125,96.875
78.125,93.75,81.25,96.875
81.25,93.75,87.5,100
75,90.625,78.125,93.75
78.125,90.625,81.25,93.75
75,87.5,78.125,90.625
78.125,87.5,81.25,90.625
81.25,90.625,84.375,93.75
84.375,90.625,87.5,93.75
81.25,87.5,84.375,90.625
84.375,87.5,87.5,90.625
87.5,93.75,93.75,100
93.75,93.75,100,100
87.5,87.5,93.75,93.75
93.75,87.5,100,93.75
75,84.375,78.125,87.5
78.125,84.375,81.25,87.5
75,81.25,78.125,84.375
78.125,81.25,81.25,84.375
81.25,84.375,84.375,87.5
84.375,84.375,87.5,87.5
81.25,81.25,84.375,84.375
84.375,81.25,87.5,84.375
75,75,81.25,81.25
81.25,78.125,84.375,81.25
84.375,78.125,87.5,81.25
81.25,75,84.375,78.125
84.375,75,87.5,78.125
87.5,81.25,93.75,87.5
93.75,84.375,96.875,87.5
96.875,84.375,100,87.5
93.75,81.25,96.875,84.375
96.875,81.25,100,84.375
87.5,78.125,90.625,81.25
90.625,78.125,93.75,81.25
87.5,75,90.625,78.125
90.625,75,93.75,78.125
93.75,75,100,81.25
50,71.875,53.125,75
53.125,71.875,56.25,75
50,68.75,53.125,71.875
53.125,68.75,56.25,71.875
56.25,71.875,59.375,75
59.375,71.875,62.5,75
56.25,68.75,59.375,71.875
59.375,68.75,62.5,71.875
50,62.5,56.25,68.75
